order_item_id,order_id,item_id,quantity,unit_price,discount_amount
5045100,1018443,4,1,14.99,5.00
5045101,1018443,29,1,3.49,0.00
5045102,1018444,12,1,18.99,5.00
5045103,1018444,27,3,2.49,0.00
5045104,1018444,23,1,3.99,0.00
5045105,1018445,15,1,10.99,0.00
5045106,1018446,17,1,12.49,0.00
5045107,1018447,16,1,10.49,0.00
5045108,1018447,19,1,3.99,0.00
5045109,1018448,6,1,12.99,0.00
5045110,1018449,15,1,10.99,0.00
5045111,1018449,4,1,14.99,0.00
5045112,1018449,24,1,3.49,0.00
5045113,1018449,25,2,6.49,0.00
5045114,1018450,17,1,12.49,0.00
5045115,1018450,11,1,13.49,0.00
5045116,1018450,24,1,3.49,0.00
5045117,1018451,7,1,11.99,0.00
5045118,1018451,24,2,3.49,0.00
5045119,1018452,17,1,12.49,2.50
5045120,1018452,7,3,11.99,0.00
5045121,1018452,20,1,4.49,0.00
5045122,1018453,9,1,13.99,0.00
5045123,1018453,17,3,12.49,0.00
5045124,1018453,24,1,3.49,0.00
5045125,1018453,21,2,3.99,0.00
5045126,1018454,12,1,18.99,5.00
5045127,1018454,21,3,3.99,0.00
5045128,1018455,17,2,12.49,0.00
5045129,1018456,2,1,11.99,0.00
5045130,1018456,26,1,2.49,0.00
5045131,1018457,5,1,13.49,0.00
5045132,1018457,27,1,2.49,0.00
5045133,1018458,4,1,14.99,5.00
5045134,1018459,3,1,10.49,0.00
5045135,1018459,19,1,3.99,0.00
5045136,1018460,17,1,12.49,0.00
5045137,1018460,31,1,3.49,0.00
5045138,1018461,12,1,18.99,5.00
5045139,1018462,14,1,10.49,0.00
5045140,1018462,26,2,2.49,0.00
5045141,1018462,18,1,5.49,0.00
5045142,1018463,17,1,12.49,2.50
5045143,1018464,17,1,12.49,0.00
5045144,1018464,19,1,3.99,0.00
5045145,1018464,20,2,4.49,0.00
5045146,1018465,12,1,18.99,5.00
5045147,1018465,21,1,3.99,0.00
5045148,1018465,26,1,2.49,0.00
5045149,1018466,17,1,12.49,0.00
5045150,1018466,6,2,12.99,0.00
5045151,1018467,17,1,12.49,2.50
5045152,1018468,17,2,12.49,0.00
5045153,1018468,19,1,3.99,0.00
5045154,1018469,4,1,14.99,5.00
5045155,1018469,18,1,5.49,0.00
5045156,1018469,27,2,2.49,0.00
5045157,1018469,28,2,3.49,0.00
